,model_id,Epoch,Train Loss det,Train Loss seg,Test Loss det,Test Loss seg,Balls correct,Balls wrong,Balls FP,Goals correct,Goals wrong,Goals FP,Robots correct,Robots wrong,Robots FP,Background IOU,Lines IOU,Field IOU,Background Acc,Lines Acc,Field Acc,time,Train Loss
0,,0,,,0.041736286133527756,0.002627946436405182,56.0,4998.0,79.0,59.0,5230.0,406.0,28.0,3382.0,564.0,0.9394106600225266,0.6556054200086735,0.953668056371553,0.9846640479108308,0.9854871961805554,0.9704826917746264,1604.6250233650208,0.4906150499979655
0,,0,,,0.015434090979397297,0.0026949318125844,38.0,3952.0,159.0,108.0,5961.0,394.0,180.0,4450.0,394.0,0.9386046792656613,0.6615427000941192,0.9541241399905134,0.9842949875262603,0.985708769184757,0.9704765369689544,392.99840259552,0.5801830689112345
0,,1,,,0.01327589899301529,0.0019785300828516483,16.0,3581.0,185.0,62.0,5885.0,451.0,22.0,3349.0,504.0,0.9521439112361852,0.7047046654708591,0.9642903779726107,0.9895060563287815,0.9878123449900793,0.9775158110119048,392.98246145248413,0.32473190625508624
0,,2,,,0.013677945360541344,0.002060412662103772,56.0,3156.0,168.0,4.0,4096.0,441.0,35.0,2609.0,483.0,0.9558193951336431,0.7327064477108263,0.9662606141653607,0.9896045332195378,0.9889949795022176,0.9787709354575165,393.2133114337921,0.17469197511672974
0,,3,,,0.0065244403667747974,0.0016286233440041542,1903.0,1379.0,223.0,5.0,3712.0,394.0,28.0,2559.0,375.0,0.9606869175558727,0.751622074623257,0.9698420180307105,0.9912378362803452,0.9897761839110643,0.981218268557423,393.0298011302948,0.10323123137156169
0,,4,,,0.006050104275345802,0.0015619093319401145,2148.0,889.0,207.0,4.0,3830.0,370.0,29.0,2675.0,476.0,0.9626011343161626,0.7610447663372369,0.9716829379875805,0.9919114455678102,0.9901037563462886,0.982467466153128,392.8239281177521,0.07376506427923839
0,,5,,,0.00544831482693553,0.0014646532945334911,2294.0,996.0,177.0,207.0,3397.0,510.0,40.0,2569.0,372.0,0.963411335261592,0.7718577111001387,0.9735004099807152,0.992700400472689,0.9906930220004669,0.9835051207983193,393.5260808467865,0.05502877136071523
0,,6,,,0.00314893526956439,0.0015300734667107463,2248.0,410.0,159.0,1556.0,1756.0,601.0,475.0,2085.0,446.0,0.9614102531765474,0.7690640495369301,0.972674451503344,0.9921134143761672,0.9906923381331698,0.9830255018674136,393.4788267612457,0.06845249732335408
0,,7,,,0.0023729887325316668,0.001424423768185079,2366.0,306.0,73.0,2136.0,1153.0,359.0,1423.0,1011.0,434.0,0.9611478926890832,0.7782516453693168,0.9741723215979053,0.9927311745010504,0.9910034977532679,0.9838012353378851,392.99829506874084,0.037069144348303475
0,,8,,,0.0019348907517269254,0.0013950878055766225,2410.0,313.0,96.0,2491.0,865.0,260.0,1840.0,570.0,518.0,0.962781597018886,0.7856904514439623,0.9749495850323836,0.9929956031891924,0.9912775005835667,0.9843255335988561,392.9431586265564,0.025582241515318554
0,,9,,,0.0016149058938026428,0.0014107353053987026,2415.0,256.0,27.0,2543.0,800.0,167.0,1931.0,497.0,351.0,0.9637460590956758,0.7899815601613451,0.9749059782986809,0.9929775946837066,0.9913566012342439,0.984442702862395,393.4768326282501,0.01833345244328181
0,,10,,,0.001458377344533801,0.001352568855509162,2405.0,251.0,23.0,2641.0,734.0,140.0,1950.0,615.0,194.0,0.9652333215425276,0.7907113512986184,0.9756366290737658,0.9932579802754433,0.9914958822070494,0.9848514275501868,393.38456416130066,0.015851979454358418
0,,11,,,0.0012869882630184293,0.001330725965090096,2431.0,223.0,21.0,2790.0,631.0,147.0,2100.0,424.0,239.0,0.9649447161434359,0.7979667455126391,0.9760380676143251,0.9932999241363213,0.9916928359885622,0.985042910393324,393.48789167404175,0.017927591999371845
0,,12,,,0.0013368612853810191,0.0013307929039001465,2426.0,282.0,18.0,2786.0,655.0,104.0,1975.0,586.0,165.0,0.9668640638758755,0.7967396170765629,0.9763090136449242,0.9933974892040149,0.9917705689046451,0.9852446512459151,394.18615651130676,0.013974890112876892
0,,13,,,0.0012828742619603872,0.0013448999961838126,2435.0,195.0,19.0,2761.0,598.0,114.0,2027.0,572.0,155.0,0.9672913242199328,0.7997160618994915,0.976779966425567,0.993687676893674,0.9918200353057889,0.9855610538486227,393.45652174949646,0.011369595925013224
0,,14,,,0.001206135842949152,0.0013552458258345723,2434.0,189.0,16.0,2839.0,535.0,121.0,2111.0,498.0,158.0,0.9670610607879935,0.8018921541846725,0.9766147012307178,0.9935214971405227,0.9918802156279177,0.9854272438141922,393.5614812374115,0.011647110184033712
0,,15,,,0.0011784505331888795,0.0014257715083658695,2441.0,205.0,14.0,2809.0,591.0,106.0,2124.0,518.0,113.0,0.9667343347019276,0.7984727100857365,0.9759256682154024,0.9933206681109943,0.9916522598622783,0.9850194309494631,393.33156728744507,0.01040813202659289
0,,16,,,0.0010266808094456792,0.0014023988042026758,2483.0,147.0,9.0,2918.0,401.0,129.0,2244.0,324.0,170.0,0.9643308383171816,0.7988897200838464,0.9768575189812307,0.9934280352766106,0.991903467116013,0.9854381856909431,393.5557780265808,0.010336770365635553
0,,17,,,0.0010859540197998285,0.0014447820140048862,2458.0,178.0,9.0,2878.0,488.0,115.0,2192.0,362.0,164.0,0.9657040818881203,0.7991174354010623,0.9764787856986586,0.9934091149480624,0.9918460222630718,0.9853581732172034,393.18202543258667,0.010019585490226746
0,,18,,,0.001522003673017025,0.0017450255108997226,2441.0,237.0,22.0,2539.0,817.0,358.0,2099.0,599.0,381.0,0.959520213417781,0.7784348282450941,0.9714929036897073,0.9910946800595238,0.9909376185369982,0.9822064568014706,393.3706350326538,0.07293460766474406
0,,19,,,0.0007580280071124434,0.0013688210165128112,2523.0,80.0,12.0,3152.0,164.0,136.0,2428.0,166.0,155.0,0.967197390404162,0.7994197010548354,0.9777456941617864,0.9940131977270075,0.9919581764997665,0.9860101267069327,401.2828826904297,0.00990160678823789
0,,20,,,0.0007527146954089403,0.0015127104707062244,2533.0,64.0,10.0,3128.0,181.0,117.0,2445.0,151.0,120.0,0.9675856733566456,0.7984072854982187,0.9774299187387063,0.9938554523371851,0.991889105902778,0.9857988117121849,421.19183444976807,0.00655121107896169
0,,21,,,0.0007114166510291398,0.001592792454175651,2537.0,65.0,13.0,3165.0,160.0,109.0,2476.0,163.0,87.0,0.9679026218690473,0.7851900690984177,0.9768441445100611,0.9938586437179037,0.9914995294992999,0.985422456743114,393.13102674484253,0.007842729489008585
0,,22,,,0.0007153786718845367,0.0015916243428364396,2539.0,77.0,10.0,3198.0,172.0,91.0,2493.0,156.0,85.0,0.967709451058811,0.7947376157108668,0.9768904967072464,0.9938239944415266,0.9917277132207049,0.985614623453548,393.13021993637085,0.007086087018251419
0,,23,,,0.0007258156547322869,0.0016657125670462847,2535.0,74.0,8.0,3177.0,170.0,114.0,2490.0,159.0,89.0,0.9671696728564726,0.7997047340080855,0.9767431386577798,0.9936489244135153,0.9918166159693045,0.9855225293242296,394.0356013774872,0.005803210039933522
0,,24,,,0.0006588702090084553,0.0017296515870839357,2545.0,70.0,13.0,3201.0,169.0,84.0,2487.0,160.0,71.0,0.9670008413512123,0.7959501096689025,0.9770642775643296,0.9938107730071196,0.9917942763042717,0.9856488168183941,440.07488203048706,0.004541064302126567
0,,25,,,0.0006986731314100325,0.0018756662029772997,2543.0,80.0,8.0,3218.0,155.0,86.0,2500.0,134.0,93.0,0.967968050116832,0.7916543270165258,0.9764083618172689,0.9936728597689074,0.9915576582195378,0.9852692704686038,424.56442284584045,0.004391654705007871
0,,26,,,0.0007195603102445602,0.0019366770284250379,2543.0,86.0,12.0,3214.0,151.0,74.0,2481.0,160.0,92.0,0.9669347466866117,0.7958865614211643,0.9761007833335189,0.9934993854312558,0.9915474002100839,0.9851092455211252,399.33695936203003,0.005499626199404399
0,,27,,,0.0006936908466741443,0.0020162642467767,2541.0,66.0,10.0,3192.0,155.0,93.0,2454.0,154.0,97.0,0.9666684909371571,0.791630442274151,0.9757374489272783,0.993560021664916,0.9913417841094773,0.9849638097426472,453.2716007232666,0.004703391653796037
0,,28,,,0.0006748992018401623,0.0019485530210658908,2542.0,66.0,7.0,3146.0,139.0,114.0,2497.0,151.0,79.0,0.9671492820389211,0.8039558233185841,0.9772729600342208,0.9937385110294119,0.9920543738328664,0.9858653747957515,452.83277010917664,0.004021025573213895
0,,29,,,0.0006862204754725099,0.002099762437865138,2538.0,64.0,8.0,3164.0,154.0,96.0,2475.0,166.0,78.0,0.9681520046097658,0.7997368173544224,0.976877671291659,0.9937590270483195,0.9916857693598272,0.9855574065563726,454.0345575809479,0.0038771511365969977
0,,30,,,0.0006861838628537953,0.0020610352512449026,2541.0,77.0,9.0,3148.0,153.0,103.0,2464.0,163.0,87.0,0.9668528565289446,0.7888022396242611,0.9770201559273713,0.9938217148838703,0.9917099326709851,0.9856246535072362,452.53149366378784,0.0046402594695488615
0,,31,,,0.0006755141657777131,0.0021930427756160498,2543.0,58.0,8.0,3128.0,154.0,108.0,2460.0,145.0,91.0,0.9674343744819333,0.8011995387881126,0.9769870717377429,0.9936227095004667,0.9919116735235763,0.9856365072070495,452.4982237815857,0.003131238433221976
0,,32,,,0.0007216567173600197,0.0025249249301850796,2520.0,80.0,8.0,3115.0,133.0,132.0,2442.0,139.0,116.0,0.9679007536492877,0.7988897597352603,0.9771487816299673,0.9937640420751633,0.9917603108951913,0.9856182707457983,436.7676270008087,0.0027724802494049072
0,,33,,,0.0007280321442522109,0.0015642031794413924,2549.0,97.0,12.0,3217.0,190.0,75.0,2513.0,163.0,79.0,0.9618714004470967,0.798405398908977,0.9769305769691053,0.993498701563959,0.9917812828256303,0.9854509512138188,457.71082854270935,0.006930002321799596
0,,34,,,0.0006588257965631783,0.002079146448522806,2548.0,83.0,7.0,3221.0,118.0,81.0,2523.0,133.0,68.0,0.9650985194317964,0.7947127013507103,0.9772945225735021,0.9938869102328433,0.9916538555526377,0.985714468078898,456.4757590293884,0.005058246664702892
0,,35,,,0.000707484083250165,0.0023793100845068693,2537.0,73.0,13.0,3163.0,138.0,105.0,2505.0,122.0,84.0,0.966939909797866,0.7933835647699459,0.9774868941444134,0.9939274863591271,0.9917534722222223,0.9859070907008638,451.45201420783997,0.0033260112007459006
0,,36,,,0.0006277351640164852,0.0024953042156994343,2538.0,65.0,9.0,3197.0,129.0,82.0,2536.0,118.0,58.0,0.9674666230837532,0.8029044847809518,0.9777465746812964,0.993995873088819,0.9919989805818158,0.9860805650385153,452.0873520374298,0.0017146410730977852
0,,37,,,0.0006022253073751926,0.002670301590114832,2541.0,77.0,11.0,3199.0,117.0,90.0,2517.0,123.0,65.0,0.967141951394581,0.8000054787599775,0.9769154026950111,0.9936908682743929,0.9917862978524744,0.9855879526289681,452.20030641555786,0.0022294425095121064
0,,38,,,0.0006332078482955694,0.0025698284152895212,2543.0,56.0,9.0,3203.0,120.0,82.0,2483.0,122.0,85.0,0.9678234057313588,0.7877460717230867,0.9762277156169259,0.9939452669088468,0.9910593469158496,0.985150961426237,454.07051944732666,0.0038531670967737832
0,,39,,,0.0006749258609488606,0.0027137084398418665,2553.0,107.0,7.0,3192.0,146.0,86.0,2486.0,128.0,89.0,0.9675022684895273,0.797177003118595,0.9773536988912035,0.9938385836105275,0.9917976956407566,0.9858168202176705,453.1116518974304,0.0031884356091419854
0,,40,,,0.0006646927213296294,0.00262306141667068,2534.0,70.0,8.0,3125.0,151.0,106.0,2467.0,138.0,87.0,0.9675045262019206,0.7947570639215454,0.9773233365204184,0.9939003596230159,0.9917876655870682,0.9858029149159664,453.39497447013855,0.0034246270855267844
0,,41,,,0.0006547585944645107,0.002771978732198477,2537.0,59.0,11.0,3105.0,151.0,122.0,2489.0,144.0,79.0,0.9673130924020106,0.7928992528624351,0.9770246071815828,0.9938112289186509,0.9917181390785481,0.9856251094187674,453.04971170425415,0.001963340056439241
0,,42,,,0.0006270368467085063,0.002947409637272358,2537.0,70.0,11.0,3169.0,139.0,90.0,2508.0,128.0,73.0,0.9650384354918261,0.7964070583663306,0.9764398820774093,0.9933901946195144,0.9917703409488797,0.985269954335901,452.189003944397,0.0021299698079625764
0,,43,,,0.0006862889276817441,0.0030515161342918873,2545.0,69.0,8.0,3182.0,143.0,86.0,2500.0,142.0,69.0,0.9678998302702994,0.7882045073355096,0.976728881368352,0.9940218600461019,0.9912809199200513,0.9853529302345938,417.76964712142944,0.0028036758303642273
0,,44,,,0.0007347416831180453,0.0029471158050000668,2554.0,107.0,7.0,3160.0,135.0,96.0,2553.0,142.0,59.0,0.966761537291618,0.7986644129986759,0.9763669400830274,0.9935689119397759,0.9915166261817226,0.9852601522379785,453.01897072792053,0.003287987783551216
0,,45,,,0.000753861153498292,0.0032371527049690485,2553.0,162.0,12.0,3190.0,162.0,79.0,2529.0,139.0,69.0,0.9663286764433983,0.7990950447008257,0.9768914179573175,0.993540417469071,0.9918512652456813,0.9855772387079832,452.74965739250183,0.0030189172054330506
0,,46,,,0.0006986886728554964,0.0033586600329726934,2541.0,64.0,10.0,3142.0,163.0,100.0,2414.0,176.0,92.0,0.9669169058502421,0.7993817460279827,0.9770654519382783,0.9937774914653363,0.9917304486898927,0.9856073288690477,452.3853642940521,0.001592768511424462
0,,47,,,0.0006763093406334519,0.0034326473250985146,2545.0,66.0,12.0,3148.0,146.0,92.0,2404.0,178.0,96.0,0.9666702871839522,0.8033124355309295,0.9773634015020283,0.993732584179505,0.9918688178396359,0.9857947085084033,454.4594814777374,0.002503530432780584
0,,48,,,0.0006707055144943297,0.0033293883316218853,2534.0,53.0,11.0,3120.0,147.0,122.0,2454.0,144.0,89.0,0.96640736104772,0.7951184879069293,0.9774552736110766,0.9938094052725257,0.9918271019345238,0.9858512415382821,453.4772026538849,0.0018620933406054974
